video,window,start_frame,subject_consistency,background_consistency,motion_smoothness,dynamic_degree,aesthetic_quality,imaging_quality
wan1-3b-dmd-recycle-v2,0,0,0.96733732894063,0.9416046142578125,0.9937889844884713,False,0.7116006016731262,74.1313412724709
wan1-3b-dmd-recycle-v2,1,196,0.9733693227171898,0.9689788818359375,0.9948722498481231,False,0.6437192559242249,73.41199073012994
wan1-3b-dmd-recycle-v2,2,392,0.9692253426959118,0.962310791015625,0.994729343911042,True,0.6410772204399109,73.62638995112205
wan1-3b-dmd-recycle-v2,3,588,0.9668217115104198,0.9591318766276041,0.9939460291968238,True,0.6277346014976501,74.24208535953444
wan1-3b-dmd-recycle-v2,4,784,0.9749348927289248,0.9694671630859375,0.994743025932996,False,0.6276518106460571,73.9464527052276
wan1-3b-dmd-recycle-v2,5,980,0.9715637372185787,0.9733632405598959,0.9948346909794232,False,0.6641603708267212,74.29865638577208
wan1-3b-dmd-recycle-v2,6,1176,0.9731742503742377,0.9606221516927084,0.9951704275042682,False,0.6580541729927063,74.67548292510364
wan1-3b-dmd-recycle-v2,7,1372,0.9641496433566014,0.9584706624348959,0.9937467952536695,True,0.627916157245636,74.34903717041016
wan1-3b-dmd-recycle-v2,8,1568,0.9821863907078902,0.9675394694010416,0.9937441035831622,True,0.6472129821777344,73.73126173992546
wan1-3b-dmd-recycle-v2,9,1764,0.9729442733029524,0.9738057454427084,0.9950084731158088,False,0.6167736053466797,73.41022133340641
wan1-3b-dmd-recycle-v2,10,1960,0.9778707101941109,0.9728800455729166,0.9950555747583933,False,0.6511633396148682,73.75202537069515
wan1-3b-dmd-recycle-v2,11,2156,0.9747974742203951,0.9726664225260416,0.9948540063338815,False,0.6343234777450562,74.05438512685348
wan1-3b-dmd-recycle-v2,12,2352,0.9821859120080868,0.9698333740234375,0.993372902771886,True,0.6192706227302551,73.37900449791734
wan1-3b-dmd-recycle-v2,13,2548,0.9813846126198769,0.9719950358072916,0.9936249777967188,True,0.6326905488967896,73.68601211236448
wan1-3b-dmd-recycle-v2,14,2744,0.9789779956142107,0.976837158203125,0.9950010524737183,False,0.5984595417976379,74.40644322609415
wan1-3b-dmd-recycle-v2,15,2940,0.9770544040948153,0.9636586507161459,0.9948636665342107,False,0.6441808938980103,73.72686985560826
wan1-3b-dmd-recycle-v2,16,3136,0.9764766649653515,0.9669342041015625,0.9945456405357505,False,0.6044367551803589,74.00123471629863
wan1-3b-dmd-recycle-v2,17,3332,0.9799958250174919,0.9671223958333334,0.992326919694605,True,0.6169992685317993,73.15222230249522
wan1-3b-dmd-recycle-v2,18,3528,0.9717244934290648,0.9653472900390625,0.9947472186435116,True,0.6201003789901733,72.70318447813696
wan1-3b-dmd-recycle-v2,19,3724,0.9735514124234518,0.9607950846354166,0.9952204657626494,False,0.6251412630081177,74.03950998734454
wan1-3b-dmd-recycle-v2,20,3920,0.9712670526156822,0.9696044921875,0.9946221294757888,True,0.6494189500808716,73.8086821886958
wan1-3b-dmd-recycle-v2,21,4116,0.9594100055595239,0.9641164143880209,0.9944442963316469,False,0.6138283610343933,74.42860973124601
wan1-3b-dmd-recycle-v2,22,4312,0.9737704607347647,0.9674326578776041,0.9931326751342453,False,0.6280037760734558,73.60041310835858
wan1-3b-dmd-recycle-v2,23,4508,0.9670258785287539,0.9718475341796875,0.9949540171136564,True,0.6039438843727112,73.01752503064213
wan1-3b-dmd-recycle-v2,24,4704,0.9705681744962931,0.9669748942057291,0.99484862885737,True,0.6211851239204407,74.06587997747927
