video,window,start_frame,subject_consistency,background_consistency,motion_smoothness,dynamic_degree,aesthetic_quality,imaging_quality
both,0,0,0.9669646962235371,0.9513498942057291,0.9937387657943342,False,0.7085314393043518,74.25891424685108
both,1,196,0.9743503996481498,0.9692484537760416,0.9949314233656202,False,0.6703519225120544,73.45226801658163
both,2,392,0.9687812570482492,0.9607594807942709,0.9947343545151545,True,0.632685661315918,73.73129599434989
both,3,588,0.9662123459080855,0.9596710205078125,0.9939116937590341,True,0.6280894875526428,73.98501664765027
both,4,784,0.973861920957764,0.9713033040364584,0.9947594144912906,False,0.6385642886161804,73.87083933304767
both,5,980,0.9714292598267397,0.9714762369791666,0.9947330052703062,False,0.6445747017860413,74.2635988507952
both,6,1176,0.9736478428045908,0.9547831217447916,0.9951120447399935,False,0.655574381351471,74.75270236268335
both,7,1372,0.9627875008930763,0.9615427652994791,0.9937636524266714,True,0.6347078084945679,74.41274681869818
both,8,1568,0.9805596092094978,0.9680887858072916,0.993741273346723,True,0.6363953948020935,73.56202713324099
both,9,1764,0.971978671848774,0.9747467041015625,0.9950159824073638,False,0.6281313300132751,73.8113597947724
both,10,1960,0.9785896881173054,0.9707743326822916,0.9950832369372695,False,0.6532263159751892,73.77657816361408
both,11,2156,0.9747190537552038,0.968963623046875,0.9948686708646688,False,0.6409726738929749,73.90100829455318
both,12,2352,0.9817093548675379,0.9718882242838541,0.9933745696545846,True,0.6097053289413452,73.07012986163704
both,13,2548,0.9815763557950655,0.9752451578776041,0.9935895061455627,True,0.6358121037483215,73.8322839542311
both,14,2744,0.9774830831835667,0.9569193522135416,0.9949760516881477,False,0.5986193418502808,74.54456765311105
both,15,2940,0.9764195258418719,0.9648590087890625,0.9948701453098379,False,0.6358873844146729,74.17775928730867
both,16,3136,0.9766156536837419,0.969940185546875,0.9945682316924944,False,0.611199140548706,74.4575584567323
both,17,3332,0.9813451102624337,0.97003173828125,0.992389149436484,True,0.6256526112556458,73.3229602113062
both,18,3528,0.9714081902056932,0.9635264078776041,0.9948168762558219,True,0.636441707611084,73.07145223812181
both,19,3724,0.9735375350962082,0.9710744222005209,0.9952650059812476,False,0.6279923319816589,74.10169796067841
both,20,3920,0.9731518526872,0.9713033040364584,0.9946219008965543,True,0.6272009015083313,74.16687369833187
both,21,4116,0.9594697269300619,0.9627736409505209,0.9944839390082956,False,0.6102396249771118,74.13950892857143
both,22,4312,0.9743673702081045,0.9670969645182291,0.9931820955740513,False,0.6103808879852295,73.33904344208386
both,23,4508,0.9667496296266714,0.9646199544270834,0.9949200526397791,True,0.6223128437995911,72.63241359165737
both,24,4704,0.9705738959213098,0.965606689453125,0.9948635732476974,True,0.6133419871330261,74.07262607496612
both,25,4900,0.9698851183056831,0.9727834065755209,0.9948705934669764,True,0.6275380849838257,73.68657061518455
both,26,5096,0.9855998512357473,0.9760335286458334,0.9943982202951739,False,0.603299081325531,74.16547596211336
both,27,5292,0.9636757945020994,0.9608968098958334,0.9947371993446595,False,0.6155111789703369,74.9044290659379
both,28,5488,0.9796783098330101,0.9679412841796875,0.9950362006225211,False,0.656866729259491,74.26521441401268
both,29,5684,0.968412404259046,0.9627024332682291,0.9947336434100661,True,0.6301823854446411,73.92376537712254
both,30,5880,0.9673193345467249,0.9573720296223959,0.9937665554920552,True,0.6364073157310486,73.28955903345225
both,31,6076,0.9742507891108593,0.9625752766927084,0.9947183992481653,False,0.6385728716850281,74.29614942900989
both,32,6272,0.9693925362080336,0.9723307291666666,0.9951209617850434,False,0.6181737184524536,74.83932463976802
both,33,6468,0.9702207949012518,0.9512736002604166,0.995268034928871,False,0.6323858499526978,73.96683564478037
both,34,6664,0.968351274728775,0.9605153401692709,0.9938793683455621,True,0.6370334625244141,74.303554768465
