video,window,start_frame,subject_consistency,background_consistency,motion_smoothness,dynamic_degree,aesthetic_quality,imaging_quality
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,0,0,0.9656970500946045,0.9391835530598959,0.9936150467381798,False,0.7037074565887451,73.81172024473852
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,1,196,0.9743324145674706,0.9642537434895834,0.9948675878409813,False,0.6565173864364624,73.62994447046397
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,2,392,0.9705042938391367,0.9682159423828125,0.9947964774685248,True,0.643169641494751,73.72581435223015
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,3,588,0.9645929063359896,0.96343994140625,0.993933281403841,True,0.6229668855667114,74.0443583897182
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,4,784,0.9749809553225836,0.9639129638671875,0.9947662613667707,False,0.6309296488761902,74.60161933120416
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,5,980,0.9710884292920431,0.9673004150390625,0.9947647869216018,False,0.6441419124603271,74.83533913748605
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,6,1176,0.9728345920642217,0.9606272379557291,0.9951249492379528,False,0.6404659152030945,74.8308580359634
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,7,1372,0.9653276869406303,0.9675496419270834,0.9939422208158325,True,0.6116685271263123,74.04364480777663
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,8,1568,0.9778763999541601,0.967132568359375,0.9937792754627447,True,0.6261405348777771,73.22979347073301
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,9,1764,0.9716494853297869,0.9725240071614584,0.9951359109488034,False,0.6080535650253296,74.46423884800502
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,10,1960,0.9794192872941494,0.9740142822265625,0.9951269478060322,False,0.6408499479293823,74.09678463060028
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,11,2156,0.974310852587223,0.9717915852864584,0.9949313298063395,False,0.6167384386062622,74.4021625129544
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,12,2352,0.9824852192153534,0.9659627278645834,0.9931558056888843,True,0.6043648719787598,73.12810438506457
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,13,2548,0.9813233241438866,0.9744974772135416,0.9937694588302067,True,0.6261101961135864,74.15510418950295
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,14,2744,0.9792919227232536,0.9765472412109375,0.9950924092927769,False,0.6028030514717102,75.20739761663943
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,15,2940,0.9772105521212021,0.9714508056640625,0.9948730496026759,False,0.6227458119392395,73.87744685581752
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,16,3136,0.976359431942304,0.9696756998697916,0.9945902542652121,False,0.59732586145401,74.2625983101981
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,17,3332,0.980689354861776,0.9784901936848959,0.9927954364783218,True,0.6223373413085938,72.8437409692881
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,18,3528,0.972144257898132,0.9681498209635416,0.9949346079271497,True,0.6385877132415771,72.69878947978117
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,19,3724,0.9727392569184303,0.9630177815755209,0.995325976082429,False,0.6139864325523376,73.88826160041653
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,20,3920,0.9736405151585737,0.9701334635416666,0.9946639671131763,True,0.6392441987991333,73.23207995356346
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,21,4116,0.95761672159036,0.9673309326171875,0.9945139814934832,False,0.6100234985351562,74.3547970518774
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,22,4312,0.9736919421702623,0.9623616536458334,0.9932027540360874,False,0.6055552959442139,72.81112375064772
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,23,4508,0.9675323888659477,0.97308349609375,0.9949203211794645,True,0.6134049296379089,72.23660107048191
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,24,4704,0.969876761858662,0.9699757893880209,0.9948932277209985,True,0.618236243724823,73.00579398018974
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,25,4900,0.9699528111765782,0.9683125813802084,0.9947437064881152,True,0.6334965825080872,73.26643293731067
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,26,5096,0.9848269646366438,0.9735768636067709,0.9944077411112683,False,0.6206836700439453,72.36218541982223
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,27,5292,0.9678352686266104,0.9628550211588541,0.9945386403648888,False,0.5994123220443726,74.07818992770449
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,28,5488,0.9788964415589968,0.9714101155598959,0.9949035225151092,False,0.6228588223457336,73.98831285749164
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,29,5684,0.9675508178770542,0.9693857828776041,0.9946987168849244,True,0.6169135570526123,73.56268964494977
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,30,5880,0.9650107330332199,0.9552103678385416,0.9936058406958759,True,0.6269428133964539,73.06754038285236
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,31,6076,0.97255654198428,0.9656982421875,0.9946435512779052,False,0.6269744634628296,74.07207769277144
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,32,6272,0.9706514459103346,0.9556427001953125,0.9950060068877088,False,0.5967797040939331,74.94325240777464
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,33,6468,0.968736237535874,0.9592183430989584,0.9949941170851576,False,0.6316912174224854,73.67661721365792
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,34,6664,0.9700909828146299,0.9645843505859375,0.9936612448381462,True,0.6135176420211792,73.71156747000558
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,35,6860,0.9838489753504595,0.9641977945963541,0.9938674273990891,True,0.6497669219970703,73.2877953977001
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,36,7056,0.9687118039776882,0.9590708414713541,0.9948755942514559,False,0.6204693913459778,74.01783441037549
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,37,7252,0.9765757018079361,0.9680633544921875,0.9952862725786094,False,0.596821665763855,74.55547659737724
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,38,7448,0.9728262995680174,0.96563720703125,0.9949584285837733,False,0.6133304238319397,73.67339013547314
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,39,7644,0.982201167071859,0.96502685546875,0.993542858388236,True,0.6119241118431091,72.07611706792092
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,40,7840,0.9813500065356493,0.9710947672526041,0.9934760522882363,True,0.6048981547355652,73.20745911890147
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,41,8036,0.9753053051729997,0.9704538981119791,0.9949619408755535,False,0.6273130178451538,75.10912618831712
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,42,8232,0.9775267262011766,0.9675242106119791,0.9952522887382339,False,0.6106191277503967,73.72454195606466
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,43,8428,0.9769424311816692,0.9691619873046875,0.9947842176567475,False,0.6170653104782104,74.49253658372528
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,44,8624,0.9801912419497967,0.9722391764322916,0.9929944842576008,True,0.6200749278068542,72.15309812584702
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,45,8820,0.9721071273088455,0.9636332194010416,0.9948442934894088,True,0.6250977516174316,73.80328867386798
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,46,9016,0.9736545079698166,0.9650217692057291,0.9949151608259489,False,0.6237116456031799,74.55814719686703
dmd-sink-sink-recycle-v1-exp-wan1-3b-dmd,47,9212,0.9698032345622778,0.9696858723958334,0.9948940743915755,True,0.6199372410774231,74.54923403992944
